income,debt,age,loan_amount,payment_history,credit_score,credit_utilization,num_credit_lines,late_payments,employment_length,default
42292.22,32026.4,54,7852.07,8,850.0,0.5334,5,0,21,0
21590.48,21620.23,52,10002.07,6,688.7,0.216,6,0,1,0
52850.67,52906.91,40,7386.81,6,677.7,0.2025,8,2,22,0
58121.0,4521.13,58,15207.76,7,666.2,0.3171,5,0,11,0
13690.84,11094.98,56,5016.63,5,622.3,0.0899,3,2,1,1
18937.71,9664.7,36,8708.86,7,754.9,0.4864,2,2,15,0
38712.59,3355.72,56,10584.31,2,645.1,0.1469,3,0,14,0
31004.22,28063.61,66,6373.22,9,654.6,0.1609,4,0,7,0
36011.71,11055.93,61,13410.94,9,656.9,0.3626,2,3,3,1
23705.87,22420.74,56,8860.65,5,621.2,0.1853,5,1,18,0
56370.37,69691.97,58,13007.84,5,559.9,0.2503,6,0,13,0
53578.12,10433.0,60,9103.94,5,663.0,0.1798,6,1,9,0
37534.48,9948.66,35,10156.23,9,769.9,0.0513,6,1,16,0
63807.15,14516.84,56,5544.52,2,715.8,0.2825,10,1,29,0
45878.63,26664.09,30,5549.91,4,824.8,0.0635,5,0,26,0
23631.92,8984.9,38,16892.72,7,760.1,0.509,8,2,7,0
43668.2,8589.77,66,11864.5,7,741.9,0.5474,7,1,11,1
22483.99,28002.04,34,4386.21,3,850.0,0.1928,6,2,24,0
56343.67,17414.31,62,9031.9,2,692.2,0.4757,2,0,3,0
35420.18,3192.92,41,1950.29,6,705.0,0.1194,4,2,28,0
33109.28,5665.93,31,5742.42,7,699.1,0.1883,8,1,12,0
25836.29,38210.48,25,14423.54,8,823.5,0.2622,9,1,14,1
66921.17,17700.53,47,7516.93,1,700.2,0.1009,6,0,29,0
33615.25,7835.84,43,8697.12,1,648.1,0.0284,7,0,5,0
29314.46,11857.47,46,1326.33,4,747.0,0.3194,4,1,4,1
30452.8,13484.09,23,6403.81,6,634.7,0.2668,4,0,26,0
47389.44,22359.65,34,9926.5,1,742.7,0.3703,6,2,21,0
43596.06,5162.7,21,10712.58,2,733.1,0.3798,4,0,12,1
44639.14,7415.56,35,14435.03,5,684.8,0.2801,8,1,3,0
45044.7,16172.52,66,7142.69,3,745.3,0.6372,5,0,16,0
105960.73,12457.97,28,7336.42,8,581.0,0.0869,3,2,22,0
29637.4,19936.38,54,3643.61,1,713.0,0.4082,5,1,1,1
28109.94,5649.63,21,7167.32,9,663.0,0.3298,7,1,6,1
24175.95,17154.06,48,3801.13,2,850.0,0.2358,7,1,10,0
49414.03,28684.4,66,2673.86,5,712.5,0.3562,2,0,8,0
63862.41,18784.23,37,4225.5,10,652.3,0.1831,2,0,16,0
34304.31,14726.12,30,20034.5,7,589.7,0.4701,3,3,29,1
23859.12,12492.47,48,6888.88,10,804.4,0.6874,6,1,20,0
24046.85,7447.28,34,9245.82,1,672.0,0.263,4,0,15,0
50276.67,12703.1,64,5954.5,8,636.7,0.2656,5,1,28,1
52660.82,32266.8,62,2767.42,1,726.9,0.1007,5,1,24,0
47647.1,12291.71,52,14209.53,7,752.0,0.3389,6,1,17,0
26036.25,7166.25,52,2201.03,4,750.7,0.1104,7,0,1,1
40785.45,9465.67,50,5808.77,8,701.6,0.1515,6,1,8,0
38497.28,15376.49,57,7841.86,2,712.7,0.2947,3,2,27,0
40511.63,10286.01,43,9304.88,9,718.6,0.2769,1,1,16,0
56146.21,18764.32,68,5240.22,5,726.9,0.1499,8,1,27,0
40611.14,19263.95,37,2689.8,6,734.0,0.723,3,1,2,1
50993.67,24891.66,21,5010.77,6,787.6,0.2501,9,0,5,0
37563.55,36188.32,55,5170.61,1,704.5,0.2807,5,1,4,0
41963.68,26825.31,53,5095.66,4,634.7,0.1933,10,2,2,1
49793.72,6946.77,69,14501.9,8,688.5,0.1481,3,0,10,0
17525.67,7097.7,40,3912.13,10,760.3,0.2662,3,1,29,0
30951.12,12669.59,41,9706.85,10,557.1,0.2844,5,0,0,0
28704.63,9741.76,48,8910.43,6,557.5,0.2464,6,0,28,0
26385.27,6021.98,40,14418.58,3,773.5,0.4496,3,1,2,1
31647.96,9806.65,59,7480.99,5,821.6,0.1925,6,1,0,1
76685.71,9583.91,41,13025.69,5,598.8,0.2326,4,0,0,0
23554.79,8347.41,59,7307.58,4,708.0,0.1327,5,1,23,0
58931.98,10710.15,41,10515.81,4,668.0,0.2114,4,1,5,0
15655.3,30482.73,32,3288.66,9,679.1,0.5242,6,2,3,1
30716.57,15359.15,69,1664.09,4,724.4,0.0975,5,0,24,0
39394.3,75377.67,46,10163.19,1,596.6,0.0483,5,0,19,0
48684.27,15053.35,55,10495.58,8,611.4,0.4594,6,2,10,0
51824.24,10904.75,49,10778.42,7,675.9,0.0133,5,1,22,0
53996.45,13398.43,38,5913.78,4,688.4,0.7655,2,0,27,0
30504.74,15987.21,68,19807.85,7,609.9,0.3275,6,1,16,1
28819.98,18118.3,39,6149.18,10,763.2,0.0936,5,2,26,0
55769.81,57165.05,69,10430.9,10,666.6,0.2907,4,1,10,1
33002.81,7392.9,42,11577.07,8,666.3,0.4887,3,1,25,0
19190.24,24375.46,22,22725.53,6,722.6,0.1631,4,0,19,0
20606.39,15450.94,22,6699.46,1,689.7,0.5801,2,3,6,1
22931.66,4448.1,68,5475.75,6,767.0,0.3375,6,3,18,0
46563.88,22913.67,46,3298.14,9,625.3,0.197,6,0,10,0
38995.94,32446.13,39,20566.53,9,588.2,0.3528,3,0,2,1
51289.57,7331.8,60,10434.22,8,675.2,0.3067,5,1,14,0
